position,title,artist_name
1,TEXAS HOLD 'EM,Beyoncé
2,Lose Control,Teddy Swims
3,Beautiful Things,Benson Boone
4,TEXAS HOLD 'EM,Beyoncé
5,dont let me go,mgk
6,Lovin On Me,Jack Harlow
7,Flowers,Miley Cyrus
8,Don't Let the Old Man In,Toby Keith
9,Selfish,Justin Timberlake
10,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
11,Turn the Lights Back On,Billy Joel
12,Beautiful Messes,Hillary Scott & The Scott Family
13,Where the Wild Things Are,Luke Combs
14,Made For Me,Muni Long
15,Fast Car,Luke Combs
16,Save Me,Jelly Roll
17,16 CARRIAGES,Beyoncé
18,Houdini,Dua Lipa
19,Lil Boo Thang,Paul Russell
20,Live Like You Were Dying,Tim McGraw
21,Powerful Women,Pitbull & Dolly Parton
22,Need a Favor,Jelly Roll
23,Fast Car,Tracy Chapman
24,Spin You Around (1/24),Morgan Wallen
25,Save Me (with Lainey Wilson),Jelly Roll
26,Spicy Margarita,Jason Derulo & Michael Bublé
27,Cruel Summer,Taylor Swift
28,Training Season,Dua Lipa
29,Yeah! (feat. Lil Jon & Ludacris),USHER
30,Good Day,Forrest Frank
31,White Horse,Chris Stapleton
32,Three Little Birds,Bob Marley & The Wailers
33,Let's Go,Key Glock
34,Wildflowers and Wild Horses (Single Version),Lainey Wilson
35,Thinkin’ Bout Me,Morgan Wallen
36,Should've Been a Cowboy,Toby Keith
37,Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor
38,"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish
39,Stick Season,Noah Kahan
40,The Door,Teddy Swims
41,Pretty Little Poison,Warren Zeiders
42,TRUCK BED,HARDY
43,Nothing's Gonna Stop Us Now,Starship
44,Standing Next to You,Jung Kook
45,Lead Me Home,Jamey Johnson
46,Devil You Know,Tyler Braden
47,Standing Next to You (Usher Remix),Jung Kook & USHER
48,Water,Tyla
49,Tennessee Whiskey,Chris Stapleton
50,Last Night,Morgan Wallen
51,Until I Found You,Stephen Sanchez
52,The Sound of Silence (CYRIL Remix),Disturbed
53,Dance The Night,Dua Lipa
54,Wondering Why,The Red Clay Strays
55,Standing Next to You (USHER Remix),Jung Kook & USHER
56,23,Chayce Beckham
57,Hard to Love,Lee Brice
58,A Country Boy Can Survive,"Hank Williams, Jr."
59,Praise Jah In the Moonlight,YG Marley
60,Standing Next to You (Slow Jam Remix),Jung Kook
61,Love Story (Taylor’s Version),Taylor Swift
62,Standing Next to You (Future Funk Remix),Jung Kook
63,Standing Next to You (Holiday Remix),Jung Kook
64,Standing Next to You (PBR&B Remix),Jung Kook
65,Standing Next to You (Latin Trap Remix),Jung Kook
66,To Be A Man (feat. Darius Rucker),Dax
67,You Are the Reason,Calum Scott
68,"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith
69,A Symptom Of Being Human,Shinedown
70,Country's Cool Again,Lainey Wilson
71,Anti-Hero,Taylor Swift
72,Lovin On Me,Jack Harlow
73,Life With You,Kelsey Hart
74,You Belong With Me (Taylor’s Version),Taylor Swift
75,Bulletproof,Nate Smith
76,As Good As I Once Was,Toby Keith
77,Dance You Outta My Head,Cat Janice
78,The Painter,Cody Johnson
79,redrum,21 Savage
80,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
81,Standing Next to You (Band Version),Jung Kook
82,One Love / People Get Ready,Bob Marley & The Wailers
83,...Ready For It?,Taylor Swift
84,Watermelon Moonshine,Lainey Wilson
85,In Case You Didn't Know,Brett Young
86,What You Won't Do for Love,Bobby Caldwell
87,"We Takin' Over (feat. Akon, T.I., Rick Ross, Fat Joe, Baby & Lil' Wayne)",DJ Khaled
88,Paint The Town Red,Doja Cat
89,Used To Be Young,Miley Cyrus
90,You Need To Calm Down,Taylor Swift
91,Lover,Taylor Swift
92,Party In the U.S.A.,Miley Cyrus
93,HISS,Megan Thee Stallion
94,Wild Ones (Extended Version),Jessie Murph & Jelly Roll
95,Leave a Light On,Papa Roach
96,Can't Get Enough,Jennifer Lopez
97,Unstoppable,Sia
98,Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
99,greedy,Tate McRae
100,Don't Stop Praying,Matthew West
